Id,Search Keyword,URL,Datetime,Tweet,User,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to (User),Tweepy Mentioned Users Count,Tweepy Mentioned Username,Tweepy Geo,Tweepy Coordinates,Tweepy Place,Tweepy User Verified,Tweepy User Followers,Tweepy User Statuses Count,Tweepy User Location,Tweepy User Created At
1628534732488159232,#PPN,https://twitter.com/newsermon/status/1628534732488159232,2023-02-22 23:18:31+00:00,Warri waa’ee Baasi Shagar jedhamu gati miyaan bitame jetan waan biyyi suun keesa jiru hinbeekan. Bitamuu isaa galateefadha. Qarshi ishee akkasumatis Odoo fudhatani eenyuutuu isaan gaafata. Gaafatan waraana isaanit ergani issin fixuu. #PPn Odditi beeku.,newsermon,0,1,1,0,hi,Twitter for iPhone,,,['PPn'],None,0,[],,,,False,56,3137,chicago,Fri Jan 14 03:47:47 +0000 2011
1628457397445357568,#PPN,https://twitter.com/usgpinvestig/status/1628457397445357568,2023-02-22 18:11:13+00:00,"@fredd6937 Alors si @fredd6937 😉
Pas plus tard que cet après-midi avec le chef du projet de Transformation Numérique de la @PoliceNationale
La constat est partagé par tous ❗
Nous martelons les difficultés, dysfonctionnements et postures prises pour la #PPN",usgpinvestig,1,0,1,0,fr,Twitter for Android,,,['PPN'],fredd6937,2,"['fredd6937', 'fredd6937']",,,,False,1259,1633,,Mon Jun 21 14:27:21 +0000 2021
1628450916255862787,#PPN,https://twitter.com/pufnak1/status/1628450916255862787,2023-02-22 17:45:28+00:00,"Please check out my friends at #PPN News!!!!
#PatriotPartyNews

In my words, perfectly imperfect.  They give it to you straight. 

https://t.co/cTndKRqwPN",pufnak1,0,0,0,0,en,Twitter for Android,,,"['PPN', 'PatriotPartyNews']",None,0,[],,,,False,55,1097,"Pennsylvania, USA",Fri Oct 28 15:55:37 +0000 2022
1628419587984203780,#PPN,https://twitter.com/wexfordcoco/status/1628419587984203780,2023-02-22 15:40:59+00:00,"Are you part of a community or voluntary group? 

Public Participation Networks support groups to shape better decision-making in communities by connecting them with their local authority.

For more information go to: https://t.co/BVqZfVdAPd

#Community #Wexford #PPN",wexfordcoco,0,1,4,0,en,Twitter Web App,,,"['Community', 'Wexford', 'PPN']",None,0,[],,,,True,13703,21973,"Wexford, Ireland",Wed Sep 16 09:16:36 +0000 2009
1628398928805625856,#PPN,https://twitter.com/LouthPPN/status/1628398928805625856,2023-02-22 14:18:53+00:00,"Minister Joe O’Brien Urges Community Groups to Join Public Participation Networks. To read more on this follow the link below:
https://t.co/OyFuBRC2gu #PPN #LouthPPN https://t.co/IUVewaAOAB",LouthPPN,0,0,0,0,en,Twitter Web App,,,"['PPN', 'LouthPPN']",None,0,[],,,,False,381,3147,"Louth, Ireland",Sat Nov 12 19:34:38 +0000 2016
1628252966171066368,#PPN,https://twitter.com/DDTCNews/status/1628252966171066368,2023-02-22 04:38:53+00:00,"Duh, rupiah melemah terhadap mayoritas mata uang negara mitra dagang untuk pelunasan pajak (kurs beli) pada pekan terakhir Februari 2023.

#kurspajak #pajak #valutaasing #PPN #PPnBM #rupiah #ringgitMalaysia #dolarAS #euro #dolarAustralia 
https://t.co/ZrroxM5a0n",DDTCNews,0,0,0,0,in,Twitter Web App,,,"['kurspajak', 'pajak', 'valutaasing', 'PPN', 'PPnBM', 'rupiah', 'ringgitMalaysia', 'dolarAS', 'euro', 'dolarAustralia']",None,0,[],,,,False,4051,31009,"Jakarta, Indonesia",Sat Jun 18 01:44:39 +0000 2016
1555131429369090049,#KenaikanPPN,https://twitter.com/duitologi/status/1555131429369090049,2022-08-04 10:00:00+00:00,"DJP mencatat penerimaan pajak hingga semester I tahun 2022 mencapaian sebesar Rp868,3 triliun. Angka tersebut naik 55,7% dibandingkan periode yang sama tahun lalu. https://t.co/iCs15kti4N

#PenerimaanPajak #Pajak #PPSPajak #KenaikanPPN https://t.co/vWo1IC3lpJ",duitologi,0,0,0,0,in,TweetDeck,,,"['PenerimaanPajak', 'Pajak', 'PPSPajak', 'KenaikanPPN']",None,0,[],,,,False,11486,6475,,Sun Aug 17 05:00:27 +0000 2014
1516725678422765571,#KenaikanPPN,https://twitter.com/PolitikLingkar/status/1516725678422765571,2022-04-20 10:29:15+00:00,"Kenaikan PPN menjadi 11% memyumbang inflasinhanya sebesar 0,4%.

#KenaikanPPN #PPN11 #PajakUntukNegeriKita https://t.co/XzxPYNLydu",PolitikLingkar,0,0,0,0,in,Twitter for Android,,,"['KenaikanPPN', 'PPN11', 'PajakUntukNegeriKita']",None,0,[],,,,False,98,3757,,Mon Dec 03 01:22:08 +0000 2018
1516725495412719616,#KenaikanPPN,https://twitter.com/PolitikLingkar/status/1516725495412719616,2022-04-20 10:28:32+00:00,"Pengaturan PPN mendukung penerimaan pajak yang optimal dan berkesinambungan.

#KenaikanPPN #PPN11 #PajakUntukNegeriKita https://t.co/znglde6HFp",PolitikLingkar,0,0,0,0,in,Twitter for Android,,,"['KenaikanPPN', 'PPN11', 'PajakUntukNegeriKita']",None,0,[],,,,False,98,3757,,Mon Dec 03 01:22:08 +0000 2018
1516725226733998085,#KenaikanPPN,https://twitter.com/PolitikLingkar/status/1516725226733998085,2022-04-20 10:27:28+00:00,"Kenaikan PPN menjadi 11% adalah upaya Pemerintah menyehatkan APBN.

#KenaikanPPN #PPN11 #PajakUntukNegeriKita https://t.co/qWAV5TXYXU",PolitikLingkar,0,0,0,0,in,Twitter for Android,,,"['KenaikanPPN', 'PPN11', 'PajakUntukNegeriKita']",None,0,[],,,,False,98,3757,,Mon Dec 03 01:22:08 +0000 2018
