Id,Search Keyword,URL,Datetime,Tweet,User,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to (User),Tweepy Mentioned Users Count,Tweepy Mentioned Username,Tweepy Geo,Tweepy Coordinates,Tweepy Place,Tweepy User Verified,Tweepy User Followers,Tweepy User Statuses Count,Tweepy User Location,Tweepy User Created At
1628698814784868353,PPN Naik,https://twitter.com/syamoneelse/status/1628698814784868353,2023-02-23 10:10:31+00:00,"Tiap tahun pajak naik, ppn naik, pajak motor naik, terus liat bujang ini, rasane ndancooookkkkkk https://t.co/1xrH0KVQMk",syamoneelse,1,0,1,0,in,Twitter for Android,,,,None,0,[],,,,False,630,12238,Indonesia,Mon Feb 07 08:17:20 +0000 2011
1628689740974407685,PPN Naik,https://twitter.com/Fikri_Prianton/status/1628689740974407685,2023-02-23 09:34:28+00:00,"@salamaestro @ridwanhr 2.5M an pajak barang mewah? PPN BM, pajak tahunan, dll.?
Harga OTR nya naik jauh",Fikri_Prianton,0,0,0,0,in,Twitter for Android,,,,salamaestro,2,"['salamaestro', 'ridwanhr']",,,,False,62,17095,"NTT, Indonesia Timur",Mon Jul 12 08:55:09 +0000 2021
1628646286638596096,PPN Naik,https://twitter.com/Aman47264904/status/1628646286638596096,2023-02-23 06:41:48+00:00,"@OposisiCerdas Punya SDA terkaya didunia,,kok bisa ya ngutang nambah lagi..harusnya lakukan evaluasi...mengapa bs seperti ini. Disisi lain..PPN naik, sembako naik, Pajak naik, BBM naik,,nah....gimana cara memeneg ya...!Mhn maaf saya orang yg kurang paham ...hanya bertanya nie..???",Aman47264904,0,0,0,0,in,Twitter for Android,,,,OposisiCerdas,1,['OposisiCerdas'],,,,False,33,877,,Thu Apr 18 05:33:02 +0000 2019
1624720824153542657,Tarif PPN Baru,https://twitter.com/ekky1995/status/1624720824153542657,2023-02-12 10:43:24+00:00,"Ya, sekali lagi. Naikin pajak itu gak segampang yang dikira, banyak pertimbangannya.

Itu aja, PPN dan tarif progresif PPh, baru naik akhir-akhir ini kan?
https://t.co/fwOHmgkD6Z",ekky1995,1,3,1,0,in,Twitter Web App,,,,ekky1995,0,[],,,,False,490,45932,,Sat May 09 08:12:20 +0000 2020
1614579607587651585,Tarif PPN Baru,https://twitter.com/IndiHomeCare/status/1614579607587651585,2023-01-15 11:05:50+00:00,"@edwin_phs_ Kak Edwin. Apabila upgspeed ke 50 Mbps Rhiki informasikan dengan harga Rp270.000,00 Tarif Internet Kecepatan Baru (Belum PPN 11 %) optimum Device 7. Biaya belum termasuk abonemen sewa perangkat modem ONT maupun sewa perangkat STB ya, Kak.",IndiHomeCare,0,0,0,0,in,Twitter Web App,,,,edwin_phs_,1,['edwin_phs_'],,,,True,161510,739717,Indonesia,Mon Aug 15 03:59:40 +0000 2016
1613395824972816384,Tarif PPN Baru,https://twitter.com/kring_pajak/status/1613395824972816384,2023-01-12 04:41:54+00:00,"@Budijo14 Hai, Kak.
PMK tersebut menetapkan Perusahaan tertentu yg dimiliki secara langsung oleh BUMN sebagai Pemungut PPN sebagaimana tercantum dalam Lampiran PMK tersebut. Terkait tarif dikenakan tarif PPN yg baru yaitu 11%.
Tks*Pomo",kring_pajak,0,0,1,0,in,TweetDeck,,,,Budijo14,1,['Budijo14'],,,,True,252664,836178,1500200,Tue Dec 15 09:34:56 +0000 2015
1628774077107421184,PPN 11%,https://twitter.com/dodolaper/status/1628774077107421184,2023-02-23 15:09:35+00:00,"@TretanMuslim Yaelah, lu ngetwit gini juga udah tetep terbayar PPN 11% dari beli pulsa/bayar penyedia jasa internet 🤭",dodolaper,0,0,0,0,in,Twitter for Android,,,,TretanMuslim,1,['TretanMuslim'],,,,False,105,52854,"Jakarta Barat, DKI Jakarta",Sun Aug 15 13:17:53 +0000 2010
1628769728021020673,PPN 11%,https://twitter.com/repostwonogiri/status/1628769728021020673,2023-02-23 14:52:18+00:00,"Mencintai itu cukup 89% sj...11% nya PPn.

Ehh ehehhh....",repostwonogiri,0,0,0,0,in,Twitter for Android,,,,None,0,[],,,,False,314,539,"Wonogiri, Indonesia",Wed Nov 29 08:44:53 +0000 2017
1628751405229166594,PPN 11%,https://twitter.com/defalpha/status/1628751405229166594,2023-02-23 13:39:30+00:00,"Kemaren ngakak bgt
Anak baru di kebun ngurus invoice kan
Dia ngotot ke anak tax ini salah potong pajaknya
Dia blg di invoice penjualannya 100jt jd dipotongnya 11jt tertulis sesuai invoice

Anak tax udh bilang itu jasa makanya dipotongnya 2%  
Ternyata Dia ngira 11% PPN=PPh 🙂",defalpha,1,0,0,0,in,Twitter for Android,,,,None,0,[],,,,False,1272,155799,Knowhere,Wed Mar 24 12:02:50 +0000 2010
