Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users
1630157588297027584,Lagi di Bogor,https://twitter.com/yhwnzznwhy/status/1630157588297027584,2023-02-27 10:47:10+00:00,"@cccerlys halo kak di aku desk cal 60k, dom bogor sm boyolali jateng, barangkali km mau boleh dm aku ya makasii^^
https://t.co/HTN8ptChNt",yhwnzznwhy,45.0,0,0,0,0,in,Twitter for Android,,,,cccerlys,1,['cccerlys']
1630157288458850304,Lagi di Bogor,https://twitter.com/sunobishan/status/1630157288458850304,2023-02-27 10:45:59+00:00,"F yang lagi di bogor, ayo main",sunobishan,14.0,0,0,0,0,in,Twitter for Android,,,,,0,
1630157194934239232,Lagi di Bogor,https://twitter.com/yhwnzznwhy/status/1630157194934239232,2023-02-27 10:45:36+00:00,"@WOOZIDDAN halo kak di aku pb 60k dom bogor sm boyolali, barangkali km mau boleh dm aku ya makasii^^
https://t.co/HTN8ptChNt",yhwnzznwhy,119.0,0,0,0,0,in,Twitter for Android,,,,WOOZIDDAN,1,['WOOZIDDAN']
1630156796148215809,Lagi di Bogor,https://twitter.com/yhwnzznwhy/status/1630156796148215809,2023-02-27 10:44:01+00:00,"@WOOZIDDAN di aku fix co kalo udah full 80% ya kak, dom bogor &amp; boyolali, barangkali km mau boleh dm aku ya makasii^^
https://t.co/HTN8ptChNt",yhwnzznwhy,48.0,0,0,0,0,in,Twitter for Android,,,,WOOZIDDAN,1,['WOOZIDDAN']
1630156434741800960,Lagi di Bogor,https://twitter.com/yhwnzznwhy/status/1630156434741800960,2023-02-27 10:42:35+00:00,"@xpcyxx_ halo kak di aku masih ada hyunsuk sm jeongwoo dom bogor sm boyolali jateng, barangkali km mau dm aja ya hehe^^
https://t.co/HTN8ptChNt",yhwnzznwhy,80.0,0,0,0,0,in,Twitter for Android,,,,xpcyxx_,1,['xpcyxx_']
1630156179501617152,Lagi di Bogor,https://twitter.com/yhwnzznwhy/status/1630156179501617152,2023-02-27 10:41:34+00:00,"@hamadaxasahl halo kak di aku masih ada jeongwoo barangkali mau hehe aku dom bogor &amp; boyolali ya^^
https://t.co/HTN8ptChNt",yhwnzznwhy,84.0,0,0,0,0,in,Twitter for Android,,,,hamadaxasahl,1,['hamadaxasahl']
1630131365567135745,Lagi di Bogor,https://twitter.com/Sunandar2207/status/1630131365567135745,2023-02-27 09:02:58+00:00,"@DukcapilKDN Daripada bikin aplikasi melulu yang cuma buang uang dan pajangan website, mendingan optimalkan pengadaan blanko KTP pak, jadi tidak ada lagi penundaan KTP kayak gini. Kalau sudah 5 bulan, baiknya mulai jemput bola pak. Saya tinggal di Kab. Bogor. Colek @BupatiBOGOR supaya sadar",Sunandar2207,10.0,0,0,0,0,in,Twitter Web App,,,,DukcapilKDN,2,"['DukcapilKDN', 'BupatiBOGOR']"
1630128992207646720,Lagi di Bogor,https://twitter.com/yusnicolletions/status/1630128992207646720,2023-02-27 08:53:32+00:00,"Gimana sih rasa nya jd orang yg kaya tapi bermanfaat bagi banyk  orang  Ya allah dalam 2023 ini kabulkan Atuh 
- Punya 1 unit Rmh di cipanas bogor 
- punya 1 unit rmh d majalengka 
- punya 1 unit lagi rmh di palembang 
- umrahin orang tua ku dan mertua ku kalo boleh sekalian haji",yusnicolletions,20.0,0,0,0,0,in,Twitter for Android,,,,,0,
1630127539065880576,Lagi di Bogor,https://twitter.com/xlskjys/status/1630127539065880576,2023-02-27 08:47:46+00:00,"help rt/like🙏🏻

WTS WANT TO SELL (lagi bu)

• album only proof wv (-pc) 
• album only jin ungu (-pc)
• album only jin ijo/hijau (-pc)
*qr belum di scan

• mpc ptd jin set
• mpc yoongi jin set
• mpc ptd group

✅BISA NEGO BANGET
✅PACKING
🏠kab.bogor
✅oren
t.wts pc bts ina https://t.co/R7l7TmeUK5",xlskjys,1105.0,1,8,1,3,en,Twitter for Android,,,,,0,
1630119244926156804,Lagi di Bogor,https://twitter.com/wib2021/status/1630119244926156804,2023-02-27 08:14:48+00:00,"Kapan lagi punya villa di puncak 2 bogor sambil berwisata. yuk Investasi Tanah Kavling mulai dari 80jtan per 100m² di jalur Rencana Puncak 2 Bogor, di dalam kawasan wisata Granada Land Tanjungsari Bogor. 

apa aja sih kelebihanya kalo beli kavling di granada land?? https://t.co/uB8WrZI71f",wib2021,38.0,0,0,0,0,in,Twitter for Android,,,,,0,
1630116339393396736,Lagi di Bogor,https://twitter.com/s_arifin/status/1630116339393396736,2023-02-27 08:03:16+00:00,@tanyakanrl Kena copet di stasiun Bogor. Langsung beli lagi ke erapon krna terpaksa :'v,s_arifin,9.0,0,0,0,0,in,Twitter for Android,,,,tanyakanrl,1,['tanyakanrl']
