Id,Search Keyword,URL,Datetime,Tweet
1630015010125807618,pajak,https://twitter.com/FatraIncs/status/1630015010125807618,2023-02-27 01:20:37+00:00,"@jazuli76 @tvOneNews Berbuat baik ga ada yg salah 
Tapi yg ga bener adalah motive/niatnya
Yaitu pencitraan , hal ini biar disebut antitesa anak pegawai pajak &amp; bekal nyapres
SEMUA ORANG UDAH PADA TAU ITU PENCITRAAN 
kalo mau nyuci mah nyuci aja ga usah bawa2 kamera terus tersebar di medsos, kan norak"
1630015000059465735,pajak,https://twitter.com/panglima_z/status/1630015000059465735,2023-02-27 01:20:34+00:00,"@WiyonoLumba Cewek bisa merubah dunia bro...
Tengok tuh kasus Sambo dan kang pajak ..tuh ragara cewek 😱😱"
1630014991029133312,pajak,https://twitter.com/ikhwanjoeari/status/1630014991029133312,2023-02-27 01:20:32+00:00,"@BosPurwa kemewahan di atas penderitaan wong cilik. 
rakyat dikejar2 srh cepat n tepat waktu utk bayar pajak, tp yg ngurusin pajak belasan ribu ogah lapor LHKPN.. 
hehee.. takut ktahuan yaaa"
1630014974490972160,pajak,https://twitter.com/dokumenapaaja/status/1630014974490972160,2023-02-27 01:20:28+00:00,"#SriMulyaniOMDO

Mereka digaji dari uang pajak yang mereka pungut kan?

Rakyat dapat apa??
Bukankah negara dibuat untuk memakmurkan rakyatnya?? 
Kalo malah menyengsarakan rakyatnya lalu BUAT APA ADA NEGARA??"
1630014957336281088,pajak,https://twitter.com/fadlicuy/status/1630014957336281088,2023-02-27 01:20:24+00:00,@Cindiellaaa @egiargians @mazzini_gsp sebenernya sih yg jadi objek utama sindiran itu anak2 pejabat kantor pajak. bukan anak2 yatimnya 😂
1630014943193100288,pajak,https://twitter.com/PALKON60917084/status/1630014943193100288,2023-02-27 01:20:21+00:00,@kompascom Ayo anda bijak taat PAJAK yang ngebajak para pejabat 🤣🤣🤣😁😁😁 https://t.co/NExqHrW2OS
1630014939317547008,pajak,https://twitter.com/pirrdot/status/1630014939317547008,2023-02-27 01:20:20+00:00,"Yg paling oke komennya soal Singel indendty number, pajak dan aset itu satu, komen lain lain komen basi, komen yg aibuk urus masa lalu, tanpa oikir kedpean mau ngapain.

Abraham Samad Buka Suara soal Harta Janggal Rafael Alun Sejak 2012 https://t.co/owVU6oLTf5"
1630014922263351298,pajak,https://twitter.com/thetysetia/status/1630014922263351298,2023-02-27 01:20:16+00:00,"Bahkan garasinya isi mobil2 mewah dan moge2. Asli gila ini kekayaan pejabat kmentrian keuangan
#pajak #mario #agnes #david #shane #anshor https://t.co/0oVApSrC58"
1630014907021402112,pajak,https://twitter.com/pajakbekasut/status/1630014907021402112,2023-02-27 01:20:12+00:00,"Pelaporan SPT Tahunan
di PT Sunrise Bumi Textile

KPP Pratama Bekasi Utara menyelenggarakan kegiatan pojok pajak dalam rangka asistensi pelaporan SPT Tahunan dan pemadanan NIK dengan NPWP kepada karyawan PT Sunrise Bumi Textile. 

@pajakjabar3
@ditjenpajakri https://t.co/GrRtvgcv6g"
1630014877518680064,pajak,https://twitter.com/kecapofc/status/1630014877518680064,2023-02-27 01:20:05+00:00,"@kring_pajak #LupaEFIN 
1.WP pribadi
2.sudah aktivasi"
1630014859487383555,pajak,https://twitter.com/1023_mel/status/1630014859487383555,2023-02-27 01:20:01+00:00,@kring_pajak mohon bntuannya saya sudah 2 hari mau mencoba lapor SPT tapi setiap kali saya submit pelaporan harta muncul info sbb. mohon bantuannya https://t.co/lJlZzIImHn
1630014852218646528,pajak,https://twitter.com/archyturner_/status/1630014852218646528,2023-02-27 01:19:59+00:00,"@kring_pajak a. Wp op
b. Sudah"
