Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified
1630506645553057794,Pajak,https://twitter.com/teguh_hteguh2/status/1630506645553057794,2023-02-28 09:54:12+00:00,"@Boediantar4 Selalu salah langkah, apapun yg dilakukan apakah tidak melalui musyawarah dan analisa yg cerdas.
Kasusnya kan lagi ditangani polisi, apa perlunya melakukan presur dg geruduk kantor pajak?",teguh_hteguh2,,0,0,0,0,in,Twitter for Android,,,,,Boediantar4,1,['Boediantar4'],False
1630506637286064129,Pajak,https://twitter.com/pajakpsidempuan/status/1630506637286064129,2023-02-28 09:54:10+00:00,"Rabu 15 Februari 2023, Kantor Pelayanan Pajak Pratama Padang Sidempuan melakukan sosialisasi terkait Pemadanan NIK = NPWP dan sosialisasi SPT Tahunan ke Kantor Kelurahan WEK II https://t.co/olCf7dRvwi",pajakpsidempuan,,0,0,0,0,in,Twitter Web App,,,,,,0,,False
1630506614351622146,Pajak,https://twitter.com/AldimasJimanto2/status/1630506614351622146,2023-02-28 09:54:04+00:00,"@DitjenPajakRI Ayo bayar pajak, pegawai pajak masih banyak yang belum korupsi nih!!!",AldimasJimanto2,,0,0,0,0,in,Twitter for Android,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630506606680059905,Pajak,https://twitter.com/kring_pajak/status/1630506606680059905,2023-02-28 09:54:03+00:00,"@agus_nuoo Namun jika sudah pernah aktivasi tetapi lupa EFIN, Kakak dapat menghubungi Kring Pajak 1500200, Live Chat di laman https://t.co/qmIuIUcWb4, atau mention twitter 
@kring_pajak dgn mengikuti petunjuk berikut: https://t.co/3NfM2EALsm

(2/2)
Tks*Esti",kring_pajak,,0,0,0,0,in,TweetDeck,,,,,kring_pajak,2,"['agus_nuoo', 'kring_pajak']",True
1630506604809551872,Pajak,https://twitter.com/wietj4k/status/1630506604809551872,2023-02-28 09:54:02+00:00,"@ArdoyantoE @asboedionoid Walau gak valid 100 % , bisa untuk bahan renungan buat  si 👉 @prastow ; @KemenkeuRI ; @DitjenPajakRI ; @kring_pajak dan teman-temannya",wietj4k,,0,0,0,0,in,Twitter for Android,,,,,ArdoyantoE,6,"['ArdoyantoE', 'asboedionoid', 'prastow', 'KemenkeuRI', 'DitjenPajakRI', 'kring_pajak']",False
1630506537851691008,Pajak,https://twitter.com/RepublikIni/status/1630506537851691008,2023-02-28 09:53:46+00:00,"@txtdariterserah Tolong diuber lah dispenda terkait.

Gw pernah, telat byr stnk 3 tahun saja, didatengin petugas pajak dan dispenda. 

Ini orang pajak enak banget nyembunyiin objek kena pajak.

Bangsat lah.",RepublikIni,,0,0,0,0,in,Twitter for Android,,,,,txtdariterserah,1,['txtdariterserah'],False
1630506509783425027,Pajak,https://twitter.com/kakitangga/status/1630506509783425027,2023-02-28 09:53:39+00:00,"@DitjenPajakRI kontrol sosial akan percuma kolaborasi mafia pajak, kolusi, korupsi, pasti selalu ditutu²pi ??? mengingat panutan serta mentornya kan si gayus tambunan...?????",kakitangga,,0,0,0,0,in,Twitter for Android,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630506504598978563,Pajak,https://twitter.com/kring_pajak/status/1630506504598978563,2023-02-28 09:53:38+00:00,"@agus_nuoo Hai, Kak.
Jika belum aktivasi EFIN, silakan melakukan aktivasi EFIN terlebih dahulu dengan mengikuti petunjuk pada tautan berikut.
https://t.co/40oRzb6wKg

Daftar saluran komunikasi resmi KPP dapat dilihat pada https://t.co/RUFBlz2G96

(1/2)",kring_pajak,,1,0,0,0,in,TweetDeck,,,,,agus_nuoo,1,['agus_nuoo'],True
1630506504418918401,Pajak,https://twitter.com/holyfightt/status/1630506504418918401,2023-02-28 09:53:38+00:00,@fahmikafabih @fadhosp Bidang jasa dengan meminimalisir  pajak.,holyfightt,1.0,0,0,0,0,in,Twitter for iPhone,,,,,fahmikafabih,2,"['fahmikafabih', 'fadhosp']",False
1630506500203622401,Pajak,https://twitter.com/DePrast7/status/1630506500203622401,2023-02-28 09:53:37+00:00,@Boediantar4 Tuntut keadilan kok di kantor pajak.....wadew,DePrast7,,0,0,0,0,in,Twitter for Android,,,,,Boediantar4,1,['Boediantar4'],False
