Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified
1630505666581524480,Pajak,https://twitter.com/GagaBhakti/status/1630505666581524480,2023-02-28 09:50:18+00:00,@tapeuli16 Abi ge di isian ku aa @andiaryos sok mangga langsung weh ka orang pajak na 🤣🤣,GagaBhakti,,0,0,0,0,in,Twitter for Android,,,,,tapeuli16,2,"['tapeuli16', 'andiaryos']",False
1630505660373942272,Pajak,https://twitter.com/seung_jooni/status/1630505660373942272,2023-02-28 09:50:17+00:00,@bbanghoonku @Askrlfess Rela bayar pajak gue kalo buat damkar,seung_jooni,,0,0,0,0,in,Twitter for iPhone,,,,,bbanghoonku,2,"['bbanghoonku', 'Askrlfess']",False
1630505658641682432,Pajak,https://twitter.com/TaqimAt/status/1630505658641682432,2023-02-28 09:50:17+00:00,"@DitjenPajakRI pov. posting lah, serah lu lah ngehujat. peduli setan. bukan akun gue ini. gue tetep dibayar ini. bukan gue yg blunder jg. mo pada gak bayar pajak kek silahkan. biar pejabat2 yg mikir. tupoksi gue ya posting.

mungkin😂",TaqimAt,,0,0,0,0,in,Twitter for Android,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630505589146288128,Pajak,https://twitter.com/TovickVieira/status/1630505589146288128,2023-02-28 09:50:00+00:00,Tunjangan orang pajak https://t.co/234gxlvil0,TovickVieira,,0,0,0,0,in,Twitter for Android,,,,,,0,,False
1630505576433344512,Pajak,https://twitter.com/ekojamhari/status/1630505576433344512,2023-02-28 09:49:57+00:00,@tukangrosok22 @DitjenPajakRI Bayar pajak gak ribet gak antri...dan lebih murah gampang solusinya...😅😅😆😂,ekojamhari,,0,0,0,0,in,Twitter for Android,,,,,tukangrosok22,2,"['tukangrosok22', 'DitjenPajakRI']",False
1630505556028047360,Pajak,https://twitter.com/pirrdot/status/1630505556028047360,2023-02-28 09:49:52+00:00,Maaih ada kok sampai kini tingkat KPP wajib pajak pembayar terbesar dan lainnya,pirrdot,,0,0,0,0,in,Twitter for Android,,,,,,0,,False
1630505552244801537,Pajak,https://twitter.com/wahyuyl/status/1630505552244801537,2023-02-28 09:49:51+00:00,@Leonita_Lestari Klu semua kakp mmbyr pajak dgn benar kyaknya Menkeu tidak stengh mati putar otak cari hutangan,wahyuyl,,0,0,0,0,in,Twitter for Android,,,,,Leonita_Lestari,1,['Leonita_Lestari'],False
1630505549036150786,Pajak,https://twitter.com/alfatihhhhhhh/status/1630505549036150786,2023-02-28 09:49:50+00:00,"@Leonita_Lestari @Midjan_La_2 indog just indog, rakyatnya kerja cape2 duit pajak dari rakyat malah di ambil anj banget.",alfatihhhhhhh,,0,0,0,0,in,Twitter for Android,,,,,Leonita_Lestari,2,"['Leonita_Lestari', 'Midjan_La_2']",False
1630505500516425728,Pajak,https://twitter.com/fajarbp5/status/1630505500516425728,2023-02-28 09:49:39+00:00,"@KemenPU jalan rusak, plesengan amblas, terancam jebol. besok waktunya bayar pajak. lokasi bungkal ponorogo. depan rumah. sedih. https://t.co/4C7NcZLVX5",fajarbp5,,0,0,0,0,in,Twitter for Android,,,,,KemenPU,1,['KemenPU'],False
1630505473333166080,Pajak,https://twitter.com/Donkol_Maning/status/1630505473333166080,2023-02-28 09:49:32+00:00,@AnthonyBudiawan Ciri dari Mafia adalah yang tdk mau bayar pajak baik perseorangan atau organisasi. Kirain saya maffia cuma ada di Italia dan mexico ternyata di Indonesia ngamprak MAFIA tp berkedok.,Donkol_Maning,,0,0,0,0,in,Twitter for Android,,,,,AnthonyBudiawan,1,['AnthonyBudiawan'],False
1630505472578170881,Pajak,https://twitter.com/reymputra/status/1630505472578170881,2023-02-28 09:49:32+00:00,"@kring_pajak baik terima kasih informasinya min, akan saya coba kembali..",reymputra,,0,0,0,0,in,Twitter for Android,,,,,kring_pajak,1,['kring_pajak'],False
1630505424985391105,Pajak,https://twitter.com/Panji95817187/status/1630505424985391105,2023-02-28 09:49:21+00:00,"@kring_pajak @kring_pajak #LupaEFIN 
1.WP pribadi a.n Benny Sutana Situmorang

2.sudah pernah aktivasi tahun lalu dan ingin login lagi tapi lupa efin dan ingin ganti email yang lama dg yg baru karena yg lama sudah tidak bisa digunakan",Panji95817187,,0,0,0,0,in,Twitter for Android,,,,['LupaEFIN'],kring_pajak,2,"['kring_pajak', 'kring_pajak']",False
1630505404219408384,Pajak,https://twitter.com/DjatiRamajatayu/status/1630505404219408384,2023-02-28 09:49:16+00:00,"@Metro_TV @KemenkeuRI @DitjenPajakRI @smindrawatii dBanyak hal/sektor, banyak orang tidak tahu proses yg berjalan, namun banyak yg pasti menuntut hasil.
hanya sedikit yg peduli.
sama, apa salah, sebagai rakyat, percaya pada pemerintah, untuk jalankan negara, rakyat menuruti aturan, dll, dan. bayar. pajak. rakyat menuntut hasil.",DjatiRamajatayu,1.0,1,0,0,0,in,Twitter Web App,,,,,DjatiRamajatayu,4,"['Metro_TV', 'KemenkeuRI', 'DitjenPajakRI', 'smindrawatii']",False
1630505386364088321,Pajak,https://twitter.com/kring_pajak/status/1630505386364088321,2023-02-28 09:49:12+00:00,"@aloyprayoga Hai, Kak. 
Silakan ditunggu jika belum menerima balasan ya. DM akan dijawab sesuai urutan DM masuk. Mohon tidak mengirimkan DM yang sama lebih dari sekali agar antrean tidak berulang. 

Tks*Auzi",kring_pajak,,0,0,0,0,in,TweetDeck,,,,,aloyprayoga,1,['aloyprayoga'],True
1630505365212381185,Pajak,https://twitter.com/herman_depp/status/1630505365212381185,2023-02-28 09:49:07+00:00,"@tatakujiyati Sehebat apa sih 4nies kelola pajak, emang dia tau apa soal pajak? 
Ahok udah gratisin bphtb, wkt dia menjabat.",herman_depp,1.0,0,0,0,0,in,Twitter for iPhone,,,,,tatakujiyati,1,['tatakujiyati'],False
1630505354328145925,Pajak,https://twitter.com/ihacoyriki/status/1630505354328145925,2023-02-28 09:49:04+00:00,mau di pajak lg tp kalo ga diterima di tmpt skrg ya yang satunya,ihacoyriki,,0,0,0,0,in,Twitter for Android,,,,,,0,,False
1630505318034853888,Pajak,https://twitter.com/fadhosp/status/1630505318034853888,2023-02-28 09:48:55+00:00,@holyfightt @fahmikafabih Wajib tidak bayar pajak,fadhosp,3.0,0,0,0,0,in,Twitter for iPhone,,,,,holyfightt,2,"['holyfightt', 'fahmikafabih']",False
